Trf_Msg,Alpha_letters,Len_Of_Words,No_of_Chars,No_of_Sentences,No_of_digits,Num_chars,Special_chars,Target
today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli,95,23,160,7,6,24,10,1
reach orchard alreadi wan go buy ticket first,41,10,54,2,1,1,2,0
real babi want bring inner tigress,42,12,58,2,0,0,5,0
da run activ full version da,42,12,54,1,0,0,1,0
ah poor babi hope urfeel bettersn luv probthat overdos work hey go care spk sn lot lovejen xxx,90,21,118,2,1,1,7,0
stop stori told return say order,66,21,88,2,0,0,5,0
talk sexi make new friend fall love world discreet text date servic text vip see could meet,108,27,144,3,1,5,4,1
go take babe,22,6,29,1,0,0,1,0
hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home,102,28,136,3,0,0,7,0
spoon okay,18,5,23,1,0,0,1,0
say somebodi name tampa,32,8,39,1,0,0,0,0
work go min,26,8,35,2,0,0,2,0
brother geniu,20,5,24,1,0,0,0,0
sorri guess whenev get hold connect mayb hour two text,72,21,95,2,0,0,4,0
find time bu coz need sort stuff,55,18,73,1,0,0,1,0
dude ive see lotta corvett late,38,8,45,1,0,0,0,0
congratul ur award either yr suppli cd virgin record mysteri gift guarante call ts cs www smsco net pm approx min,117,26,161,1,4,15,4,1
consid wall bunker shit import never play peac guess place high enough matter,128,31,159,1,0,0,2,0
privat account statement xxxxxx show un redeem point call identifi code expir,85,17,149,3,8,34,9,1
hello need posh bird chap user trial prod champney put need address dob asap ta,103,28,134,5,0,0,4,1
want xma free text messag new video phone half price line rental call free find,105,28,154,3,3,14,4,1
well offici philosoph hole wan na call home readi save,72,19,92,1,0,0,2,0
go good problem still need littl experi understand american custom voic,82,15,102,1,0,0,8,0
text drop,23,9,31,1,0,0,1,0
ugh long day exhaust want cuddl take nap,58,18,77,3,0,0,3,0
talk atleast day otherwis miss best friend world shakespear shesil lt gt,99,22,139,3,0,0,19,0
shop till drop either cash travel voucher call ntt po box cr bt fixedlin cost ppm mobil vari,92,26,158,1,7,28,7,1
castor need see someth,35,9,44,2,0,0,1,0
sunshin quiz wkli win top soni dvd player know countri liverpool play mid week txt ansr sp tyron,97,25,137,3,3,8,5,1
secret admir look make contact find reveal think ur special call,94,25,132,1,2,12,3,1
secret admir look make contact find reveal think ur special call stopsm,101,26,143,1,3,14,5,1
remind download content alreadi paid goto http doit mymobi tv collect content,99,21,127,4,0,0,9,1
see knew give break time woul lead alway want miss curfew gon na gibe til one midnight movi gon na get til need come home need getsleep anyth need studdi ear train,210,56,276,3,1,1,9,0
love give massag use lot babi oil fave posit,58,16,78,2,0,0,5,0
dude go sup,22,6,27,1,0,0,0,0
yoyyooo know chang permiss drive mac usb flash drive,63,16,79,2,0,0,1,0
gibb unsold mike hussey,21,4,24,1,0,0,1,0
like talk pa abl dont know,37,14,52,2,0,0,2,0
dun cut short leh dun like ah fail quit sad,49,16,68,4,0,0,5,0
unbeliev faglord,22,3,24,1,0,0,0,0
wife knew time murder exactli,36,9,44,1,0,0,1,0
ask princess,19,5,24,1,0,0,1,0
great princess think,41,10,55,3,0,0,4,0
nutter cutter ctter cttergg cttargg ctargg ctagg ie,47,9,62,8,0,0,7,0
ok noe busi realli bore msg oso dunno wat colour choos one,74,27,104,1,1,1,5,0
class earli tomorrow thu tri smoke lt gt,65,18,87,1,0,0,7,0
superb thought grate dont everyth want mean still opportun happier tomorrow today,115,26,150,2,0,0,10,0
hope good week check,39,10,49,2,0,0,1,0
use hope agent drop sinc book thing year whole boston nyc experi,116,35,154,3,0,0,7,0
thursday night yeah sure thing work,43,11,56,2,0,0,4,0
free rington wait collect simpli text password mix verifi get usher britney fml,93,21,125,4,1,5,6,1
probabl money worri thing come due sever outstand invoic work two three month ago,103,22,126,2,0,0,2,0
possibl teach,33,9,43,2,0,0,2,0
wonder phone batteri went dead tell love babe,58,17,77,2,0,0,2,0
love smell bu tobacco,36,10,49,1,0,0,4,0
get worri derek taylor alreadi assum worst,69,15,84,1,0,0,2,0
hey charl sorri late repli,39,10,49,1,0,0,2,0
lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap,126,25,162,3,1,5,6,1
give plu said grinul greet whenev speak,62,17,79,2,0,0,2,0
white fudg oreo store,26,6,31,1,0,0,0,0
januari male sale hot gay chat cheaper call nation rate min cheap min peak stop text call min,93,25,155,3,7,28,11,1
love come took long leav zaher got word ym happi see sad left miss,108,35,146,4,0,0,4,0
sorri hurt,17,6,23,1,0,0,1,0
feel nauseou piss eat sweet week caus today plan pig diet week hungri,117,36,160,6,0,0,11,0
ok lor earli still project meet,49,12,62,2,0,0,2,0
call da wait call,29,9,39,1,0,0,2,0
could ask carlo could get anybodi els chip,53,15,67,1,0,0,0,0
actual send remind today wonder weekend,60,13,73,2,0,0,1,0
peopl see msg think iam addict msging wrong bcoz know iam addict sweet friend bslvyl,112,27,148,2,0,0,11,0
hey gave photo regist drive ah tmr wan na meet yck,69,17,88,2,0,0,2,0
dont talk ever ok word,28,9,37,1,0,0,1,0
wana see,18,6,23,1,0,0,0,0
way school pl send ashley number,43,13,56,2,0,0,2,0
shall fine avalarr hollalat,42,10,53,3,0,0,2,0
went attend anoth two round today still reach home,57,14,73,1,0,0,5,0
actual delet old websit blog magicalsong blogspot com,66,14,80,1,0,0,4,0
wait chikku il send aftr lt gt min,29,9,44,1,0,0,8,0
diet ate mani slice pizza yesterday ugh alway diet,66,22,92,3,1,1,5,0
give kvb acc detail,25,8,35,1,0,0,4,0
oh come ah,17,6,23,1,0,0,1,0
money lucki winner claim prize text money million give away ppt normal text rate box jy,90,25,140,4,9,17,6,1
realli sorri abl friday hope find altern hope yr term go ok,78,24,106,1,1,1,8,0
congratul ore mo owo wa enjoy wish mani happi moment fro wherev go,82,21,103,2,0,0,1,0
samu shoulder yet,28,7,34,1,0,0,0,0
time think need know near campu,60,17,77,2,0,0,2,0
dear matthew pleas call landlin complimentari lux tenerif holiday cash await collect ppm sae cs box sk xh,106,23,159,2,6,24,5,1
dun wear jean lor,19,5,26,1,0,0,3,0
sinc side fever vomitin,36,8,47,1,0,0,4,0
colleg,17,6,24,1,0,0,4,0
urgent call landlin complimentari tenerif holiday cash await collect sae cs box hp yf ppm,91,19,149,3,9,28,6,1
better made friday stuf like pig yesterday feel bleh least writh pain kind bleh,104,26,133,4,0,0,4,0
sell ton coin sell coin someon thru paypal voila money back life pocket,96,26,126,4,0,0,6,0
theyr lot place hospit medic place safe,63,14,78,2,0,0,2,0
get touch folk wait compani txt back name age opt enjoy commun sm,101,25,132,3,1,3,5,1
also sorta blown coupl time recent id rather text blue look weed,92,25,116,1,0,0,1,0
sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one,175,43,221,3,0,0,4,0
cant wait see photo use,43,12,59,3,0,0,4,0
ur cash balanc current pound maxim ur cash send go msg cc po box tcr,78,23,137,2,7,28,8,1
hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg,110,29,143,2,0,0,4,0
chk ur belovd ms dict,19,6,24,1,0,0,0,0
time want come,29,9,38,1,0,0,1,0
awesom lem know whenev around,35,7,42,1,0,0,2,0
shb ok lor thanx,14,5,24,1,0,0,6,0
beauti truth graviti read care heart feel light someon feel heavi someon leav good night,123,26,159,1,0,0,11,0
also rememb get dobbi bowl car,38,10,47,1,0,0,1,0
filthi stori girl wait,35,7,41,1,0,0,0,1
sorri ur msg yar lor poor thing one night tmr brand new room sleep,81,26,122,1,2,2,13,0
love decis feel could decid love life would much simpler less magic,96,26,126,2,0,0,7,0
welp appar retir,23,4,26,1,0,0,0,0
sort code acc bank natwest repli confirm sent right person,85,25,114,3,0,0,4,0
,5,1,7,1,0,0,1,0
sure take sick time,25,9,34,1,0,0,2,0
urgent tri contact today draw show prize guarante call land line claim valid hr,106,26,157,5,4,18,5,1
watch cartoon listen music amp eve go templ amp church,69,16,92,1,0,0,8,0
yo chad gymnast class wan na take site say christian class full,72,16,90,2,0,0,3,0
much buzi,18,5,22,1,0,0,0,0
better still catch let ask sell lt gt,60,19,85,1,0,0,6,0
sure night menu know noon menu,46,13,63,4,0,0,3,0
want come back beauti necklac token heart that give wife like see one give dont call wait till come,167,51,220,1,0,0,9,0
will go aptitud class,33,8,41,1,0,0,1,0
wont tri sort hous ok,40,12,60,1,3,4,3,0
yar lor wan go hors race today mah eat earlier lor ate chicken rice,64,19,88,3,1,1,4,0
haha awesom omw back,25,6,31,1,0,0,1,0
yup thk shop close lor,28,9,37,1,0,0,1,0
account number,23,5,28,1,0,0,1,0
eh send wrongli lar,17,5,24,1,0,0,3,0
hey ad crap nite borin without ya boggi bore biatch thanx wait til nxt time il ave ya,88,27,118,2,1,1,1,0
ok shall talk,17,6,22,1,0,0,0,0
dont hesit know second time weak like keep notebook eat day anyth chang day sure noth,166,43,210,3,0,0,2,0
hey pay salari de lt gt,32,10,50,3,0,0,8,0
anoth month need chocol weed alcohol,40,8,49,2,0,0,2,0
start search get job day great potenti talent,70,17,87,1,0,0,2,0
reckon need town eightish walk carpark,47,12,61,1,0,0,2,0
congrat mobil videophon call videochat wid mate play java game dload polyph music nolin rentl,100,20,141,4,3,13,7,1
look fuckin time fuck think,42,12,54,2,0,0,1,0
yo guess drop,23,6,28,1,0,0,0,0
carlo say mu lt gt minut,33,11,49,1,0,0,6,0
offic call lt gt min,32,12,53,2,0,0,9,0
geeee miss alreadi know think fuck wait till next year togeth love kiss,103,28,145,3,0,0,13,0
yun ah ubi one say wan call tomorrow call look iren ere got bu ubi cre ubi tech park ph st wkg day,98,30,162,2,10,23,12,0
ugh got ta drive back sd la butt sore,39,12,53,3,0,0,3,0
th juli,8,3,12,1,1,2,0,0
hi im relax time ever get everi day parti good night get home tomorrow ish,107,30,142,4,2,2,4,0
wan come come lor din stripe skirt,45,14,73,1,0,0,9,0
xma stori peac xma msg love xma miracl jesu hav bless month ahead amp wish merri xma,94,25,129,1,0,0,11,0
number,23,9,33,1,0,0,4,0
chang one next escal,33,9,47,1,0,0,7,0
yetund class run water make ok pl,53,18,72,1,0,0,3,0
lot happen feel quiet beth aunt charli work lot helen mo,112,31,148,5,0,0,5,0
wait bu stop aft ur lect lar dun go get car come back pick,70,25,107,2,1,1,2,0
aight thank comin,33,8,41,1,0,0,1,0
heard abt tat,16,5,23,1,0,0,4,0
pleas call custom servic repres freephon pm guarante cash prize,98,20,149,1,7,22,2,1
ye realli great bhaji told kalli best cricket sachin world tough get,81,19,104,1,0,0,8,0
lt gt think say syllabu,31,9,45,2,0,0,6,0
umma say anyth,21,5,26,2,0,0,1,0
give sec think think,29,9,37,1,0,0,0,0
panason bluetoothhdset free nokia free motorola free doublemin doubletxt orang contract call mobileupd call optout,110,18,150,4,3,13,6,1
quit know still get hold anyon cud pick bout pm see pub,93,33,132,3,2,3,7,0
poyyarikatur kolathupalayam unjalur post erod di lt gt,49,8,63,1,0,0,10,0
dear hero leav qatar tonit apt opportun pl keep touch lt email gt kerala,83,22,108,1,0,0,7,0
lol would mom would fit tell whole famili crazi terribl,73,21,93,1,0,0,0,0
got home babe still awak,32,9,43,1,0,0,2,0
dunno close oredi fan,29,9,46,1,0,0,6,0
buy pizza meat lover suprem get pick,42,12,56,3,0,0,3,0
ya told ask wat matter,28,7,37,1,0,0,4,0
dear regret cudnt pick call drove frm ctla cochin home left mobil car ent style ishtamayoo happi bakrid,100,23,124,1,0,0,7,0
free st week nokia tone ur mob everi week txt nokia get txting tell ur mate www getz co uk pobox wq norm tone,105,31,158,2,8,19,6,1
shall send exe mail id,29,9,38,1,0,0,1,0
nope watch tv home go bore,37,10,53,2,0,0,7,0
know wait check,23,7,31,1,0,0,3,0
good afternoon gloriou anniversari day sweet hope find happi content prey think send teas kiss across sea coax imag fond souveni cougar pen,174,41,224,3,0,0,9,0
guess somebodi know secretli fanci wan na find give us call landlin datebox essexcm xn min,106,26,156,4,5,22,4,1
still tonight,19,5,24,1,0,0,1,0
may call later pl,19,6,24,1,0,0,0,0
pattern recent crap weekend,43,9,52,1,0,0,2,0
sore throat scratch talk,37,11,48,2,0,0,2,0
ye da plm ur offic,21,7,28,2,0,0,1,0
around still asleep,33,9,43,2,0,0,2,0
lol forgot eh ye bring babe,35,12,49,2,0,0,3,0
good find way,19,7,26,1,0,0,2,0
use foreign stamp countri good lectur,46,10,58,2,0,0,2,0
yup bath liao,12,3,17,1,0,0,3,0
happi new year man,19,6,26,1,1,1,1,0
oh mr sheffield wan na play game okay boss nanni give rais give one,93,29,127,5,0,0,9,0
zoe hit im fuck shitin il defo tri hardest cum morow luv million lekdog,79,20,103,1,3,3,0,0
hello babi get back mom set comput fill belli goe loverboy miss alreadi sigh,114,29,157,5,0,0,11,0
blanket suffici thx,28,6,34,1,0,0,1,0
naughti littl thought better flirt flirt flirt rather love someon gettin hurt hurt hurt gud nyt,96,22,128,1,0,0,11,0
edison rightli said fool ask question wise man answer know us speechless viva gm,110,28,143,1,0,0,6,0
talk that de wont,40,10,51,2,0,0,2,0
today go colleg abl atten class,47,13,60,1,0,0,1,0
class holla later,23,7,30,2,0,0,2,0
easi ah sen got select mean good,32,8,41,1,0,0,3,0
mmm that better got roast better drink good indian,74,24,103,3,1,1,3,0
know someon know fanci call find pobox ls hb,63,18,101,3,4,17,3,1
come round,12,4,19,1,0,0,3,0
thing chang sentenc want concentr educ career im leav,86,17,114,2,2,2,8,0
flirt txt girl bloke ur name age eg girl zoe join get chat,66,19,104,2,3,10,6,1
walk hour show care wont believ im seriou,56,18,78,2,1,1,2,0
day euro kickoff kept inform latest news result daili unsubscrib send get euro stop,97,23,135,3,3,11,3,1
avail soire june rd,32,8,41,1,1,1,1,0
noe wat time place dat sell close,34,11,46,1,1,1,1,0
got anoth job one hospit data analysi someth start monday sure thesi got finish,109,25,136,3,0,0,3,0
jay get realli impati belliger,40,7,46,1,0,0,1,0
hiya comin bristol st week april le got rudi new yr eve snore drunk bak colleg yet work send ink bath,114,32,157,4,3,3,6,0
work pleas call,18,6,24,2,0,0,2,0
drive lor,13,4,17,1,0,0,1,0
ard like dat,11,4,20,2,1,3,2,0
tell femal throw decid get,64,19,84,2,0,0,5,0
eastend tv quiz flower dot compar violet tulip lili txt chanc win cash wkent,99,28,153,3,6,15,7,1
work technic support voic process network field,52,9,63,1,0,0,5,0
might come kerala day prepar take leav finalis dont plan travel visit need finish urgent work,121,31,155,1,1,1,4,0
ok sure time tho sure get librari class tri see point good eve,92,26,122,4,0,0,5,0
new local date area lot new peopl regist area repli date start www flirtparti us repli,108,26,143,3,2,5,5,1
fine bitch later,38,12,50,1,0,0,3,0
mum went dentist,18,5,25,1,1,1,1,0
free call sir wait,33,10,44,2,0,0,2,0
meet work tel shall work tomorrow,47,14,65,4,0,0,3,0
someon know ask date servic contact cant guess call reveal po box wu,90,23,134,4,5,17,3,1
ju finish bath,16,3,21,1,0,0,3,0
alright make sure car back tonight,37,10,47,1,0,0,2,0
urgent tri contact today draw show prize guarante call land line claim valid hr,106,26,157,5,4,18,5,1
dear invit xchat final attempt contact txt chat,65,18,90,3,1,5,3,1
lul im gettin juici gossip hospit two nurs talk fat gettin one think she obes oyea,107,25,135,4,0,0,4,0
aight ill get fb coupl minut,31,9,39,1,0,0,0,0
oi ami parchi na kicchu kaaj kort iccha korch na phone ta tul na plz plz,61,17,83,6,0,0,6,0
download clear movi dvd copi,36,7,44,2,0,0,2,0
yep pretti sculptur,23,5,28,1,0,0,1,0
convey regard,20,5,24,1,0,0,0,0
watch surya movi pm vijay movi pokkiri,51,11,67,3,1,1,3,0
tell happen dont behav like ok need say,52,15,67,2,0,0,1,0
get pic msg phone,25,8,33,1,0,0,1,0
send someon els,17,4,24,1,0,0,3,0
wat make peopl dearer de happi dat feel meet de pain feel miss dem,91,26,119,2,0,0,3,0
love start attract feel need everi time around first thing come thought would start day end everi time dream love everi breath name life happen around life name would cri give happi take sorrow readi fight anyon love craziest thing love proov anyon girl beauti ladi whole planet alway sing prais love start make chicken curri end maki sambar life beauti get everi morn thank god day would like say lot tell later,718,190,910,1,0,0,22,0
fr ndship like needl clock though clock nt abl met evn meet itz second bt alwi stay conect gud,111,36,158,5,3,3,10,0
think spatula hand,27,8,35,1,0,0,2,0
never noth,20,5,24,1,0,0,0,0
award sipix digit camera call landlin deliveri within day cs box bp yr warranti ppm,90,23,153,9,9,28,9,1
goodmorn today late lt decim gt min,40,10,53,1,0,0,5,0
win urgent mobil number award prize guarante call land line claim valid hr ppm,95,21,147,3,5,24,2,1
pleas da call mistak side sorri da pl da goto doctor,56,15,72,2,0,0,2,0
meet,15,4,19,1,0,0,1,0
well weather cali great complex great need car move freeli tax outrag great place sad part miss home,145,38,188,5,0,0,7,0
reach home tire come tomorro,50,14,71,6,0,0,5,0
ryder unsold gibb,19,4,23,1,0,0,2,0
dear subscrib ur draw gift voucher enter receipt correct an elvi presley birthday txt answer,104,23,142,3,3,9,2,1
fret buy ovul test strip send wont get til like march send postal address alright okay,123,34,160,4,0,0,9,0
gift tri get throw cliff someth,56,15,73,2,0,0,3,0
ne thing interest good birthday wrking nxt start uni today,82,21,106,4,0,0,4,0
busi come point figur tomorrow,63,18,80,1,0,0,1,0
yeah go bore depress sittin waitin phone ring hope wind drop though scari,82,19,105,1,0,0,5,0
black shirt blue jean thk,26,9,43,1,0,0,6,0
aiyah sorri lor watch tv watch forgot check phone,50,13,68,1,1,1,4,0
messag import inform user today lucki day find log onto http www urawinn com fantast surpris await,126,27,159,3,2,2,7,1
hen night go swing,25,7,32,2,0,0,1,0
good afternoon love goe day woke earli onlin wait hmmm italian boy onlin see grin,112,30,159,5,0,0,13,0
someon smoke everi time smoke last two week call text want smoke,112,29,140,1,0,0,1,0
get headach tri figur trust math promis,73,23,101,4,0,0,7,0
first time dhoni rock,21,6,31,1,0,0,7,0
ok ill tell compani,19,5,23,1,0,0,0,0
awesom think get th usf time tonight,44,12,58,1,1,1,2,0
mean still think teju,30,8,37,1,0,0,0,0
good movi ok leav hourish,44,16,61,1,0,0,3,0
kalli home ground amla home town durban,46,12,60,1,0,0,5,0
let make saturday monday per conveni,44,10,54,1,0,0,1,0
hey time drive fri go evalu fri,51,14,69,2,0,0,5,0
price claim call,27,8,70,2,4,27,4,1
go lunch wif famili aft dat go str orchard lor,52,16,72,1,2,2,2,0
bore speed date tri speedchat txt speedchat like em txt swap get new chatter chat pobox wq msg rcd,102,29,156,3,6,22,6,1
cancel cheyyamo get money back,33,7,40,1,0,0,2,0
want anytim network min text new video phone five pound per week call repli deliveri tomorrow,108,26,153,1,3,17,0,1
ok ok ok what ur today plan,27,8,36,1,0,0,5,0
good morn princess,28,6,35,2,0,0,2,0
aiyar sorri lor forgot tell,24,6,34,1,1,1,3,0
take part mobil survey yesterday text use howev wish get txt send txt www txt com,106,29,156,3,7,15,6,1
tonight mate catch sleep new number way,60,16,79,3,0,0,3,0
height oh shit situat guy throw luv letter gal fall brother head who gay,82,23,114,2,0,0,10,0
ur hmv quiz cash balanc current maxim ur cash send hmv msg,69,19,105,1,4,12,4,1
check error difficulti correct,52,11,64,1,0,0,2,0
howz pain hope fine,18,6,25,1,0,0,3,0
sorri call later,17,5,22,1,0,0,2,0
good morn princess,28,6,35,2,0,0,2,0
enter cabin pa said happi day boss felt special askd lunch lunch invit apart went,111,30,156,5,1,1,13,0
wake alreadi thanx tau sar piah quit nice,42,13,58,2,1,1,3,0
need login anyth,24,8,31,1,0,0,0,0
dont forget place mani free request stchoic co uk wish inform call,86,20,120,2,2,12,4,1
lol busi,16,5,24,1,0,0,3,0
wear,12,3,17,1,0,0,2,0
messag text miss sender name miss number miss sent date miss miss lot that everyth miss sent via fullonsm com,123,25,152,1,0,0,9,0
oh usual vijay film differ,32,8,41,1,0,0,3,0
know know send chat let find msg rcvd hg suit land row hl ldn year,102,36,158,5,7,16,13,1
good day mine realli busi much tomorrow night,62,17,80,2,0,0,2,0
way send shade stuff wonder,65,19,85,2,0,0,3,0
realli tot ur paper end long ago wat copi ju got use happi lar still haf studi,77,23,115,2,1,1,13,0
thank winner notifi sm good luck futur market repli stop custom servic,79,16,115,3,2,16,3,1
babe lost,12,4,25,2,0,0,7,0
ok help ask work tmr,31,11,45,1,0,0,5,0
drive rain get caught mrt station lor,51,15,70,2,0,0,7,0
drop tank,17,6,22,1,0,0,0,0
said text one time,32,9,43,1,0,0,3,0
sorri call later,17,5,22,1,0,0,2,0
ok go chang also,15,5,22,1,0,0,3,0
girl mani local virgin readi fil ur everi sexual need fil text cute,84,26,140,4,9,17,8,1
find sitter kaitlyn sick slept day yesterday,56,15,72,2,0,0,2,0
sorri man accident left phone silent last night check til got,72,19,91,1,0,0,2,0
hey someth came last min think wun sign tmr hee,51,14,70,1,0,0,6,0
adult would learn experi real danger dont like peep use drug dont need comment,110,28,140,4,0,0,5,0
hey veggi pizza,20,5,31,2,0,0,7,0
yun buy school got offer plu,34,8,52,1,1,4,6,0
sure neighbor didnt pick,33,8,40,1,0,0,0,0
sent,17,6,23,1,0,0,1,0
free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate appli,97,30,155,1,6,25,6,1
new theori argument win situat lose person dont argu ur friend kick amp say alway correct,105,25,145,6,0,0,14,0
well im computerless time make oreo truffl,44,9,54,3,0,0,2,0
haha yeah see sec,32,11,43,1,0,0,1,0
number sir,24,7,30,1,0,0,0,0
lol hot air balloon,30,9,39,1,0,0,2,0
ok bu come soon come otherwis tomorrow,50,15,71,5,0,0,4,0
msg time pass silent say think right also make think least moment gd nt swt drm shesil,111,32,146,2,1,1,4,0
yeah probabl swing roommat finish girl,59,14,73,1,0,0,1,0
got take take part wrc ralli oz lucozad energi text ralli le see pack lucozad co uk wrc itcould,110,32,159,3,3,8,10,1
happi new year melodi,19,4,23,1,0,0,1,0
dun need pick ur gf,17,6,26,1,0,0,1,0
yay better told girl either,45,11,59,2,1,1,2,0
horribl eat mac eat forgot abt alreadi rite take long repli thk toot prepar wat shall eat,109,33,150,3,2,2,7,0
say fantast chanc anyth need bigger life lift lose live think would first person die,124,36,167,1,2,2,3,0
nw came hme da,18,7,26,1,0,0,2,0
outsid island head toward hard rock run,52,14,66,1,0,0,3,0
day class class,27,8,35,1,0,0,1,0
chennai velacheri,20,5,26,1,0,0,3,0
flippin shit yet,21,5,26,1,0,0,1,0
give sec break lt gt cstore,32,11,49,1,0,0,6,0
much bad avoid like,29,9,38,1,0,0,1,0
yo around got car back,27,8,36,2,0,0,2,0
annoy,14,4,18,1,0,0,2,0
goodmorn today late lt gt min,33,9,48,1,0,0,7,0
point hangin mr right makin happi,52,17,68,1,0,0,2,0
come aliv better correct good look figur,60,12,73,1,0,0,3,0
case guess see campu lodg,38,12,49,1,0,0,1,0
done,8,3,13,1,0,0,4,0
come home one last time wont anyth trust,48,14,63,2,0,0,2,0
night worri appt shame miss girl night quizz popcorn hair,104,28,133,2,0,0,3,0
sex ur mobil free sexi pic jordan text babe everi wk get sexi celeb pocketbab co uk pic wk,99,28,155,4,5,18,7,1
ok ya,5,3,13,1,0,0,6,0
new voicemail pleas call,29,6,49,2,2,12,1,1
said matter mind say matter,58,15,74,2,0,0,2,0
also know lunch menu da know,36,10,48,3,0,0,2,0
al moan thin goe wrong fault al de argument fault fed himso bother hav go thanx xx,102,34,138,2,1,1,5,0
neft transact refer number lt gt rs lt decim gt credit beneficiari account lt gt lt time gt lt gt,112,28,164,2,0,0,25,0
otherwis part time job na tuition,32,7,40,1,0,0,3,0
know call,16,5,20,1,0,0,0,0
also da feel yesterday night wait til day night dear,46,12,61,1,1,1,2,0
thank understand tri tell sura,49,11,61,2,0,0,3,0
win year suppli cd store ur choic worth enter weekli draw txt music ts cs www ldew com sub win ppmx,93,27,147,1,8,19,6,1
whole car appreci last two dad map read semi argument apart thing go ok,103,25,130,2,0,0,3,0
sim subscrib select receiv bonu get deliv door txt word ok claim msg exp apr,102,29,148,4,3,10,8,1
need strong arm,26,9,37,1,0,0,3,0
also maaaan miss,26,6,31,1,0,0,0,0
bday real april,20,6,27,1,0,0,1,0
guessin gon na,31,8,41,1,1,1,2,0
ok come ur home half hour,38,12,49,1,0,0,0,0
yo game almost want go walmart soon,40,11,52,2,0,0,2,0
yeah probabl sure ilol let know person wuldnt bother ur goin mite well,94,25,124,3,0,0,6,0
text creepi like think forgot,48,15,63,2,0,0,3,0
would good phone tomo lunchtim shall organis someth,64,15,85,1,0,0,4,0
new voicemail pleas call,29,6,50,2,2,12,2,1
damn make tonight want wait til tomorrow,55,15,70,1,0,0,1,0
also fine complet cours,40,12,55,1,0,0,8,0
true passabl get high score appli phd get year salari make life easier,89,25,119,4,1,1,5,0
nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend tone repli hl info,92,27,143,7,7,14,7,1
prakesh know,18,4,22,1,0,0,1,0
teach app da come colleg,33,9,43,2,0,0,2,0
rofl betta invest anti age product,38,8,46,1,0,0,0,0
winner special select receiv cash holiday flight inc speak live oper claim,95,22,146,1,5,20,3,1
sir receiv account anoth hr time sorri delay,58,14,75,2,1,1,3,0
repli name address receiv post week complet free accommod variou global locat www phb com ph,119,26,159,1,2,15,3,1
submit da project tmr rite,32,8,43,1,0,0,2,0
free entri weekli comp send word enter www textcomp com cust care,75,20,123,2,4,21,5,1
ju an lar noe later,22,8,31,2,0,0,3,0
want send someth sell fast lt gt easi money,54,16,76,2,0,0,7,0
got thing may pub later,35,11,51,2,0,0,4,0
finish meet call,20,5,27,1,1,1,2,0
lol ok snatch purs,25,8,34,1,0,0,3,0
hello drivbi quit edrunk sorri iff pthi make senrd dnot dancc drum basq ihav fun nhite ro xxxxxxx,94,23,129,1,3,3,12,0
opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,90,17,136,2,9,9,12,0
much get,19,5,24,1,0,0,1,0
ur paper morn aft tmr,24,9,33,1,0,0,1,0
dear reliev westonzoyland go plan end,51,11,63,1,0,0,2,0
hope great new semest wish best made great,75,19,96,3,0,0,3,0
oh ye speak txt hmm get email,35,13,53,3,1,1,3,0
want show world princess europ,44,11,59,1,0,0,4,0
nobodi decid eat dad want chines,43,10,52,1,0,0,0,0
shoot doc wait room,31,10,45,3,0,0,5,0
go dinner soon,23,7,34,2,1,1,4,0
hello site download song urgent pl,44,10,53,1,0,0,0,0
know mean king havin credit goin bed night night sweet sleep,81,24,111,4,2,2,6,0
horribl gal sch stuff come got mc,45,13,60,3,0,0,3,0
hi hun im comin nite tell everi im sorri hope ava goodtim oli rang melnit ifink mite sort il explain everythin mon rs,115,32,152,2,4,4,7,0
call later network urgnt sm,40,12,55,2,0,0,5,0
ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,68,15,84,1,0,0,2,0
pleas call immedi urgent messag wait,58,12,81,1,1,11,0,1
yeah like goe like friend imma flip shit like half hour,68,20,87,1,0,0,0,0
mum say wan go go shun bian watch da glass exhibit,61,17,84,1,0,0,6,0
plan pongal,21,5,26,1,0,0,1,0
wait till end march el nino get oh,45,12,58,2,0,0,2,0
yet chikku go room nw bu,32,11,46,1,0,0,6,0
also cbe pay,32,10,43,2,0,0,2,0
honey boo miss,18,6,24,1,0,0,2,0
sent jd custom servic cum account execut ur mail id detail contact us,79,18,97,1,0,0,1,0
yo parent gettin cash good news pick downstem,52,15,70,2,0,0,5,0
thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy,137,36,179,6,0,0,8,0
hungri gay guy feel hungri call min stop text call min,67,19,120,3,5,27,7,1
ok wahala rememb friend need,39,10,54,2,0,0,5,0
see half hour,20,7,26,1,0,0,0,0
im inperialmus listen weirdest track ever leafcutt john sound like insect molest someon plumb remix evil men acid,129,24,156,1,1,1,4,0
hey sorri didntgiv ya bellearli hunni,38,9,47,1,0,0,1,0
serious tell exact word right,39,8,48,2,0,0,2,0
